,subject,topic_label
14009,detected login from a new location,New Orders and Shipments
14010,score savings up to 68% on game day must-haves & snacks! up to 90% on yellow label apparel!,New Orders and Shipments
14011,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
14012,sears order notification: po 1760447,Delivery Status and Failures
14013,delivery status notification (failure),Delivery Status and Failures
14014,nan,Miscellaneous/Unknown
14015,youâ€™ve received an offer for joe snyder kini 12 collection poliester #35320.,Customer Inquiries
14016,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
14017,"re: gto19 sent a message about adco 3972 ultra tyre gards - #2 30 to 32""",Delivery Status and Failures
14018,nan,Miscellaneous/Unknown
14019,nan,Miscellaneous/Unknown
14020,nan,Miscellaneous/Unknown
14021,maurelle123 has sent a message,Delivery Status and Failures
14022,"details about item: thebassman0700 sent a message about ferret, crme 16'' #355197244188",Delivery Status and Failures
14023,"maurelle123 sent a message about the rock&#174; c2c official basketball (29.5) #364590815881""",Promotions and Offers
14024,inquiry from amazon customer rowelito p. gaza,Customer Inquiries
14025,fdepot price list feb 05th 2024,Invoices and Support
14026,product details inquiry from amazon customer carla(order: 111-4016797-8683463),Customer Inquiries
14027,nan,Miscellaneous/Unknown
14028,[request received],Order Requests and Tickets
14029,request received:,Order Requests and Tickets
14030,nan,Miscellaneous/Unknown
14031,youâ€™ve received an offer for char-broil cast iron smoker box-emry-8011458.,Customer Messages
14032,sears order notification: po 1760245,Delivery Status and Failures
14033,"re: virventurein sent a message about vickerman 7 black rectangle glass container - lg182317 #355060153315""",Delivery Status and Failures
14034,re: apology and exclusive offer for your recent purchase regards the order id: vv-us-58700,Promotions and Offers
14035,mary pat sass and others are suggested for you,Invoices and Support
14036,inquiry from amazon customer wolfejam,Customer Inquiries
14037,"you have made a sale: amoroso single jogging stroller, 12 #3642""",System Notifications
14038,5ave - shipped order notification,Order Requests and Tickets
14039,"ssscott81059 sent a message about german shepherd seated 34 #364696509884""",Customer Messages
14040,product details inquiry from amazon customer shadi,Customer Inquiries
14041,nan,Miscellaneous/Unknown
14042,all the best birkenstock deals to get you ready for spring,Customer Messages
14043,nan,Miscellaneous/Unknown
14044,sears order notification: po 1760065,Delivery Status and Failures
14045,delivery status notification (failure),Delivery Status and Failures
14046,product details inquiry from amazon customer unique pumphrey,Customer Inquiries
14047,your fedex claims status has been updated,Customer Inquiries
14048,your package has arrived: ginkgo lafayette 42 piece stainless flatware set #72921,Miscellaneous/Unknown
14049,_immediate bonsai boy inventory change(s) at 02-04-2024,Promotions and Offers
14050,3 new walmart marketplace orders received,New Orders and Shipments
14051,you have been rated: ginkgo lafayette 42 piece stainless flatware set #72921,Invoices and Support
14052,the press | boost your profits with packaging that pops,System Notifications
14053,request to cancel this order: victorihackbart-0 sent a message about toy chest - ho - honey oak #354938337753,Delivery Status and Failures
14054,your e-mail to luis gonzalez,Customer Inquiries
14055,your email to amazon.com marketplace,New Orders and Shipments
14056,your e-mail to derek,New Orders and Shipments
14057,your e-mail to alice hsieh,Miscellaneous/Unknown
14058,return policy inquiry from amazon customer mrunal chinubhai patel,Customer Inquiries
14059,$19 colgate optic white pen | walmart tv rollbacks | $29 pyrex set,Customer Messages
14060,the post most: a taylor swift endorsement? itâ€™s delicate.,New Orders and Shipments
14061,"nandansons wholesale specials price list for february 4, 2024",Invoices and Support
14062,"wilcol-2597 sent a message about vidaxl radiator cover white 44.1x7.5""x32.1"" mdf #126027753113""",Customer Messages
14063,only 10 days 'til valentine is day,New Orders and Shipments
14064,last call! 50% off,System Notifications
14065,nan,Miscellaneous/Unknown
14066,we think you will love these,System Notifications
14067,a customer is waiting for an answer on prepac wsh-6643 full/queen...,Customer Messages
14068,act75ck sent a message about segovia iron 14-inch square plant stand #364573315383,Customer Messages
14069,"message from walmart.com customer, ref id: 2e1652d1394f48b0ae6f6b9221724627",Customer Messages
14070,action required: please review your flagged orders,Order Requests and Tickets
14071,your order 113-8888984-1282620 has been cancelled as per customerâ€™s request,Order Requests and Tickets
14072,the art of travel at bergdorf goodman,System Notifications
14073,2 new walmart marketplace orders received,New Orders and Shipments
14074,please respond to your chat about 5 core 2 professional speaker tripod stand adjustable #88581.,Customer Messages
14075,your essentialpetproducts.com order is on the way to you!,Order Requests and Tickets
14076,a customer is waiting for an answer on modway render mid-century...,Customer Messages
14077,"valentineâ€™s day sale = deals on strung beads, art supplies and more! ",System Notifications
14078,order cancelation request for order id: 112-1312568-9163431,Order Requests and Tickets
14079,6 living rooms that stylishly integrate a tv | 5 tile trends from tise 2024,System Notifications
14080,remember these items?,Customer Inquiries
14081,"celebrationman sent a message about raincap lid only black set of 1 #355222763197""",Customer Messages
14082,amazon has shipped your sold item(s),Order Requests and Tickets
14083,your e-mail to mrunal chinubhai patel,Miscellaneous/Unknown
14084,"lepe29 sent a message about paper mate write bros. stick ballpoint pen ,pen,wrtbros stck,60pk,be #196043970288",Delivery Status and Failures
14085,keeping your guests safe and engaged.,Customer Messages
14086,store performance summary,System Notifications
14087,"message from walmart.com customer, ref id: 963523913e474ed08e7c48c27cea32af",Customer Messages
14088,how did we do?,New Orders and Shipments
14089,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
14090,un cliente estã¡ a la espera de una respuesta sobre bilstein 24-293082 b8 5100...,Delivery Status and Failures
14091,nan,Miscellaneous/Unknown
14092,nan,Miscellaneous/Unknown
14093,inquiry from amazon customer derek,Customer Inquiries
14094,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
14095,trevobrand-0 sent a message about lian li hd01x - storage drive cage #195955540830,Delivery Status and Failures
14096,[request received],Order Requests and Tickets
14097,request received:,Order Requests and Tickets
14098,your payment is on its way,Disputes and Cases
14099,drb600 sent a message about hercules series plastic folding chair - black - 650lb weight capacity comfort... #364561149549,Delivery Status and Failures
14100,consulta del cliente de amazon luis gonzalez,Delivery Status and Failures
14101,order cancelation request for order id: 114-9032858-7423450,Order Requests and Tickets
14102,youâ€™ve got a chat message for 5 core 2 professional speaker tripod stand adjustable #88581.,Customer Messages
14103,"you have made a sale: irh equi-pro ii horse riding helmet with dial fit system, grey #36685",Miscellaneous/Unknown
14104,"sold, ship now: flsh-ren-lel1whitegg flash furniture herculestm series folding chair - white resin - 1000lb weight capacity comfortable event chair - light weight folding chair",System Notifications
14105,"message from walmart.com customer, ref id: f760f7cc77d04364bed4c3576a3baf2d",Customer Messages
14106,5 new walmart marketplace orders received,New Orders and Shipments
14107,answer?,Customer Messages
14108,5ave - shipped order notification,Order Requests and Tickets
14109,"accept or counter $7.50 for char-broil cast iron smoker box-emry-8011458, ends in 6 hours.",System Notifications
14110,nan,Miscellaneous/Unknown
14111,nan,Miscellaneous/Unknown
14112,nan,Miscellaneous/Unknown
14113,nan,Miscellaneous/Unknown
14114,nan,Miscellaneous/Unknown
14115,nan,Miscellaneous/Unknown
14116,nan,Miscellaneous/Unknown
14117,nan,Miscellaneous/Unknown
14118,sears order notification: po 1759113,Delivery Status and Failures
14119,delivery status notification (failure),Delivery Status and Failures
14120,"nandansons wholesale specials price list for february 3, 2024",Invoices and Support
14121,island_2001 sent a message about bunga hyacinth weave dining chair with mahogany hardwood frame - salak brown #134845061153,Customer Messages
14122,nan,Miscellaneous/Unknown
14123,âœ¨ incoming! open now to score this weekâ€™s savings + deals on dã©cor and floral.,Promotions and Offers
14124,elevate your walmart business with expert account management!,System Notifications
14125,your e-mail to matthew,Customer Inquiries
14126,3 new walmart marketplace orders received,New Orders and Shipments
14127,return policy inquiry from amazon customer mrunal chinubhai patel,Customer Inquiries
14128,your e-mail to erick fernandez,Delivery Status and Failures
14129,youâ€™ve got a chat message for blazing needles 16-inch outdoor rounded back chair-vir-b019z3c8c0.,Customer Messages
14130,your e-mail to derek,New Orders and Shipments
14131,sears order notification: po 1758779,Delivery Status and Failures
14132,return request,Order Requests and Tickets
14133,your package has arrived: rg costumes civil war union officer boy is halloween fancy-dress-medium #77157,System Notifications
14134,your e-mail to brandon klein,Customer Inquiries
14135,4 new walmart marketplace orders received,New Orders and Shipments
14136,leg avenue - weekly invoice report,System Notifications
14137,your e-mail to janed gomez,Customer Inquiries
14138,your email to amazon.com marketplace,New Orders and Shipments
14139,your e-mail to erin good,New Orders and Shipments
14140,your e-mail to john kocinski jr,Invoices and Support
14141,your package has arrived: rio grande games: dominion big box 2nd edition: strategy board game #88855,Miscellaneous/Unknown
14142,"janstanle0 has sent a question about item #126027799940, ending on 25-feb-2024 17:38:20 ist - nintendo switch starter bundle",Delivery Status and Failures
14143,lululemon under $100 | 40% off stanley quencher | 53â¢ frito-lay snacks,System Notifications
14144,the post most: u.s. strikes in syria and iraq kill dozens of militants,New Orders and Shipments
14145,the wait is over! the item in your wish list is now available again and ready to ship.,Invoices and Support
14146,canceled: walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn.,Customer Messages
14147,"accept or counter $7.50 for char-broil cast iron smoker box-emry-8011458, ends in 12 hours.",System Notifications
14148,"jenniferhenley1796 sent a message about marseille stackable indoor/outdoor french bistro 26 high counter height stoo... #364561148881""",Customer Messages
14149,start february off with a few of our favorites,System Notifications
14150,saturday sale // up to 75% off,System Notifications
14151,do not miss our discounts!,Promotions and Offers
14152,action required: please review your flagged orders,Order Requests and Tickets
14153,houzz marketplace product approval status update - 2024-02-02,Delivery Status and Failures
14154,your e-mail to baley,Miscellaneous/Unknown
14155,update for you: 1 new notification,New Orders and Shipments
14156,order cancelled po # bnzr-17685,Order Requests and Tickets
14157,fireboy911okok has sent a message,Delivery Status and Failures
14158,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
14159,amazon has shipped your sold item(s),Order Requests and Tickets
14160,find savings youâ€™ll â¤ï¸ score 40% off valentineâ€™s day supplies!,New Orders and Shipments
14161,delivery status notification (failure),Delivery Status and Failures
14162,delivery status notification (failure),Delivery Status and Failures
14163,delivery status notification (failure),Delivery Status and Failures
14164,delivery status notification (failure),Delivery Status and Failures
14165,offer expired for vidaxl radiator cover black 44.1&quot;x7.5&quot;x31.9&quot; mdf,Promotions and Offers
14166,"virventures, inc. tracking file -02-03-2024",Customer Inquiries
14167,order manifest for 02/03/2024 12:01:00,Order Requests and Tickets
14168,share your thoughts with us - decocrated.com,System Notifications
14169,youâ€™ve received an offer for char-broil cast iron smoker box-emry-8011458.,Customer Messages
14170,youâ€™ve got a chat message for 3- drawer wooden night stand with bun feet silver #3696.,Customer Messages
14171,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
14172,final email reminder# 140230131301,New Orders and Shipments
14173,1 new walmart marketplace orders received,New Orders and Shipments
14174,inquiry from amazon customer derek,Customer Inquiries
14175,"shereyton sent a message about kingston brass cck2668 vintage clawfoot tub faucet package with shower combo,... #354959933259",Delivery Status and Failures
14176,[request received],Order Requests and Tickets
14177,request received:,Order Requests and Tickets
14178,inquiry from amazon customer brandon klein,Customer Inquiries
14179,shipping inquiry from amazon customer matthew,Customer Inquiries
14180,ridgewoodts sent a message about martha washington burgundy leathersoft executive swivel office chair with arms #364561145588,Customer Inquiries
14181,aims power is weekly inventory & product updates,Promotions and Offers
14182,5ave - shipped order notification,Order Requests and Tickets
14183,consulta sobre el envã­o del cliente de amazon erick fernandez,Delivery Status and Failures
14184,your fedex claims status has been updated,Customer Inquiries
14185,re: pending credit-sigma distributors inc,Disputes and Cases
14186,how to backup sharepoint,Miscellaneous/Unknown
14187,"ticket 23345, product support",Invoices and Support
14188,summary of failures for google apps script: gmail reader v1.3,System Notifications
14189,credit request for po  has been submitted    [ ref:!00d700kccm.!5004u031odim:ref ],Customer Messages
14190,"re: weisgmc sent a message about mid-back black mesh ergonomic drafting chair with leathersoft seat, adjustabl... #364561147787",Customer Messages
14191,po 3676751gdm - re-work    [ ref:!00d610zktc.!5008y02lywgq:ref ],Customer Messages
14192,order shipped and charged,Order Requests and Tickets
14193,your e-mail to assaf shiloni,Miscellaneous/Unknown
14194,"details about item: seso65652013 sent a message about sponge, neuro: x-ray detectable sterile neuro sponge, 1 x 3""",Delivery Status and Failures
14195,sears order notification: po 1757874,Delivery Status and Failures
14196,your e-mail to joseph reimer,Customer Inquiries
14197,we are here to help!    [ ref:!00d700kccm.!5004u031jo9w:ref ],Customer Messages
14198,order delivery inquiry from amazon customer ramona helgerson(order: 112-1393617-8352234),Customer Inquiries
14199,delivery status notification (failure),Delivery Status and Failures
14200,delivery status notification (failure),Delivery Status and Failures
14201,nan,Miscellaneous/Unknown
14202,fba inbound shipment problem (fba17nnps7p0),Disputes and Cases
14203,nan,Miscellaneous/Unknown
14204,nan,Miscellaneous/Unknown
14205,nan,Miscellaneous/Unknown
14206,"message from walmart.com customer, ref id: 07e47bedd2914691966284e23d4fc32f",Customer Messages
14207,nan,Miscellaneous/Unknown
14208,nan,Miscellaneous/Unknown
14209,nan,Miscellaneous/Unknown
14210,nan,Miscellaneous/Unknown
14211,nan,Miscellaneous/Unknown
14212,nan,Miscellaneous/Unknown
14213,3 new walmart marketplace orders received,New Orders and Shipments
14214,nan,Miscellaneous/Unknown
14215,delivery status notification (failure),Delivery Status and Failures
14216,nan,Miscellaneous/Unknown
14217,"maurelle123 sent a message about the rock&#174; c2c official basketball (29.5) #364590815881""",Promotions and Offers
14218,solicitud de factura del cliente de amazon janed gomez(pedido: 113-2114281-6673864),Delivery Status and Failures
14219,joeman6663 sent a message about macgregor&#174; rubber soccer ball #196033816365,Delivery Status and Failures
14220,"virventurein, take 3 minutes to share feedback on your recent ebay experience",Promotions and Offers
14221,your e-mail to manda casas,Miscellaneous/Unknown
14222,oxygen concentrator survey - help us help you!,System Notifications
14223,credit memo # 11058,System Notifications
14224,we are here to help!    [ ref:!00d700kccm.!5004u031jnrl:ref ],Customer Messages
14225,do not miss out! new adidas styles hitting our shelves,New Orders and Shipments
14226,product details inquiry from amazon customer john kocinski jr,Customer Inquiries
14227,inquiry from amazon customer baley,Customer Inquiries
14228,credit memo for vir ventures inc. for invoice number - inv-16364972,Invoices and Support
14229,details about item: wscottie_23 sent a message about render vinyl record display stand walnut #195904096835,Customer Messages
14230,your e-mail to eric fagner,Customer Inquiries
14231,nan,Miscellaneous/Unknown
14232,invoice request from amazon customer joseph reimer(order: 701-4130603-7301806),Customer Inquiries
14233,sears order notification: po 1757736,Delivery Status and Failures
14234,re: unshipped order - ssar,Promotions and Offers
14235,item spec 3.2 decommissioned,Delivery Status and Failures
14236,nan,Miscellaneous/Unknown
14237,nan,Miscellaneous/Unknown
14238,nan,Miscellaneous/Unknown
14239,nan,Miscellaneous/Unknown
14240,nan,Miscellaneous/Unknown
14241,your e-mail to matthew,Customer Inquiries
14242,all-new luxor charging solutions,Customer Messages
14243,"message from walmart.com customer:  ask a question, 200011615771635",Customer Messages
14244,youâ€™ve got a chat message for walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn.,Customer Messages
14245,your e-mail to erick fernandez,Delivery Status and Failures
14246,your e-mail to alberto,Delivery Status and Failures
14247,"kasa-7659 has sent a question about item #364698129284, ending on 25-feb-2024 18:37:43 ist - molicare slip maxi brief by hartmann,47-59""""",Delivery Status and Failures
14248,ticket has been created for order id #vv-us-cdb-36084,Order Requests and Tickets
14249,the post most: inflation has fallen. why are groceries still so expensive?,Promotions and Offers
14250,"modernartifacts1 sent a message about vidaxl gazebo cream white 208.7x137.8""x104.3"" #195904235480""",Delivery Status and Failures
14251,5 new walmart marketplace orders received,New Orders and Shipments
14252,outdoor heaters from $28 | $19 gold earrings | $12 clothing storage 6-pack,Customer Messages
14253,2106300359 virventures inc 1617128 medline rma,Disputes and Cases
14254,"frizzledchris sent a message about bell shape fabric shade table lamp with floral metal base, beige and bronze #134677536740",Customer Messages
14255,your e-mail to xiao qian,Miscellaneous/Unknown
14256,inquiry from amazon customer assaf shiloni,Customer Inquiries
14257,friday of body stockings!,Delivery Status and Failures
14258,re: [external] tracking id - 788975236669[virventures#81ed5b76],Customer Inquiries
14259,re: [external] tracking id : 788997441760 [virventures#5e0d37ae],Customer Inquiries
14260,"re: vir_venture sent a message about copic wide nibs, extra broad, 2/pkg. #364375856775",Delivery Status and Failures
14261,invoice 173443 from lakeland mills llc,Invoices and Support
14262,invoice 173499 from lakeland mills llc,Invoices and Support
14263,inquiry from amazon customer erin good,Customer Inquiries
14264,a customer is waiting for an answer on kingston brass ks269c vintage...,Customer Messages
14265,invoice 173586 from lakeland mills llc,Invoices and Support
14266,invoice 173586 from lakeland mills llc,Invoices and Support
14267,josepcasciar-0 sent a message about uniden bearcat sds200 police scanner #355004549222,Customer Messages
14268,maxwel123 sent a message about mikasa bx1000 junior 27-1/2 in rubber basketball #195904231854,Delivery Status and Failures
14269,the buyer has asked to cancel walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn.,Customer Messages
14270,"store, your february free files are here ",Promotions and Offers
14271,your case is now closed    [ ref:!00d700kccm.!5004u031jkar:ref ],Customer Messages
14272,re: [external] tracking id : 788997441760 [virventures#5e0d37ae],Customer Inquiries
14273,you have made a sale: better trends double  comforter 100% cotton tufted unique--vir-b07wwq8844,Miscellaneous/Unknown
14274,connect your shopify store and tap into new communities!,New Orders and Shipments
14275,"nandansons wholesale specials price list for february 2, 2024",Invoices and Support
14276,"be entered to win one of three prizes, up to $5,000",Promotions and Offers
14277,sla shipments,New Orders and Shipments
14278,your e-mail to volodymyr,Miscellaneous/Unknown
14279,tailored for your business needs.,Order Requests and Tickets
14280,return request,Order Requests and Tickets
14281,we are here to help!    [ ref:!00d700kccm.!5004u031jl2v:ref ],Customer Messages
14282,fresh sugar roll-on deodorant - 75ml/2.5oz - blowout,Promotions and Offers
14283,we are here to help!    [ ref:!00d700kccm.!5004u031jkvq:ref ],Customer Messages
14284,we are here to help!    [ ref:!00d700kccm.!5004u031jl0v:ref ],Customer Messages
14285,we are here to help!    [ ref:!00d700kccm.!5004u031jljv:ref ],Customer Messages
14286,your e-mail to erin good,New Orders and Shipments
14287,we are here to help!    [ ref:!00d700kccm.!5004u031jkgg:ref ],Customer Messages
14288,we are here to help!    [ ref:!00d700kccm.!5004u031jkar:ref ],Customer Messages
14289,fwd: connect retailer credit,Customer Messages
14290,action required: please review your flagged orders,Order Requests and Tickets
14291,we are here to help!    [ ref:!00d700kccm.!5004u031jko8:ref ],Customer Messages
14292,we are here to help!    [ ref:!00d700kccm.!5004u031jkrg:ref ],Customer Messages
14293,we are here to help!    [ ref:!00d700kccm.!5004u031jkwu:ref ],Customer Messages
14294,we are here to help!    [ ref:!00d700kccm.!5004u031jkbh:ref ],Customer Messages
14295,new bath salts!,Customer Inquiries
14296,we are here to help!    [ ref:!00d700kccm.!5004u031jk2v:ref ],Customer Messages
14297,first look: this weekâ€™s newest additions,New Orders and Shipments
14298,re: [external] tracking id - 774771860560[virventures#vir272b903b],Customer Inquiries
14299,re: [external] tracking id - 789051772194[virventures#43e814f7],Customer Inquiries
14300,re: [external] tracking id  - 774780806854[virventures#25cc8666],Customer Inquiries
14301,re: [external],Customer Inquiries
14302,new invoice 0614002 & tracking from pyramid time systems,System Notifications
14303,new invoice 0614003 & tracking from pyramid time systems,System Notifications
14304,new invoice 0614004 & tracking from pyramid time systems,System Notifications
14305,new invoice 0614005 & tracking from pyramid time systems,System Notifications
14306,new invoice 0614008 & tracking from pyramid time systems,System Notifications
14307,new invoice 0614009 & tracking from pyramid time systems,System Notifications
14308,new invoice 0614010 & tracking from pyramid time systems,System Notifications
14309,new invoice 0614011 & tracking from pyramid time systems,System Notifications
14310,new invoice 0614017 & tracking from pyramid time systems,System Notifications
14311,re: [external] tracking id - 789179148946[virventures#68ab81cb],Customer Inquiries
14312,re: [external] tracking id -  789077431900[virventures#d70e626c],Customer Inquiries
14313,fedex has received your email - email reference number: 75766691,New Orders and Shipments
14314,houzz marketplace product approval status update - 2024-02-01,Delivery Status and Failures
14315,re: [external] tracking id  - 774780806854[virventures#25cc8666],Customer Inquiries
14316,re: [external] tracking id - 774784191467[virventures#4675ad7e],Customer Inquiries
14317,re: [external] tracking id - 788988339226[virventures#7744b0b1],Customer Inquiries
14318,re: [external],Customer Inquiries
14319,fedex customer survey - email reference number: 75757109,New Orders and Shipments
14320,"customer, you have a good eye",New Orders and Shipments
14321,nan,Miscellaneous/Unknown
14322,please see updated contact information [email id: 18492323],Order Requests and Tickets
14323,graham-field customer service,Invoices and Support
14324,you cancelled a pending order,Order Requests and Tickets
14325,you have a message waiting for you,Customer Messages
14326,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
14327,buybox items details report is ready.,Customer Inquiries
14328,fedex has received your email - email reference number: 75762790,New Orders and Shipments
14329,nan,Miscellaneous/Unknown
14330,inventory update required for 724 items,Promotions and Offers
14331,"still interested in mod made chrome wire side chair, white?",System Notifications
14332,"virventures, inc. tracking file -02-02-2024",Customer Inquiries
14333,nan,Miscellaneous/Unknown
14334,order performance,Order Requests and Tickets
14335,re:,New Orders and Shipments
14336,fedex has received your email - email reference number: 75759197,New Orders and Shipments
14337,fedex has received your email - email reference number: 75758971,New Orders and Shipments
14338,fedex has received your email - email reference number: 75758985,New Orders and Shipments
14339,fedex has received your email - email reference number: 75759100,New Orders and Shipments
14340,fedex has received your email - email reference number: 75758853,New Orders and Shipments
14341,fedex has received your email - email reference number: 75758702,New Orders and Shipments
14342,fedex has received your email - email reference number: 75758589,New Orders and Shipments
14343,vir ventures : orders need to be charged as on 01-31-2024,Order Requests and Tickets
14344,nan,Miscellaneous/Unknown
14345,"offer expired for achim home furnishings lemon drop tier and valance window curtain set, 58&quot; x ...",Customer Messages
14346,fedex has received your email - email reference number: 75757681,New Orders and Shipments
14347,"offer expired for &quot;caroline is treasures bb2643ktwl dog house collection samoyed kitchen towel, ...",Promotions and Offers
14348,fedex has received your email - email reference number: 75757508,New Orders and Shipments
14349,fedex has received your email - email reference number: 75757348,New Orders and Shipments
14350,inquiry from amazon customer manda casas(order: 112-3466423-9427432),Customer Inquiries
14351,how did we do?,New Orders and Shipments
14352,fedex has received your email - email reference number: 75757109,New Orders and Shipments
14353,rickyaugie4595 sent a message about 1-100 hss single flute countersink,Delivery Status and Failures
14354,fedex has received your email - email reference number: 75756974,New Orders and Shipments
14355,you have made a sale: walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn,Customer Messages
14356,your mercari verification code is 099874.,Promotions and Offers
14357,new sign-in to your account.,New Orders and Shipments
14358,detected login from a new location,New Orders and Shipments
14359,fedex has received your email - email reference number: 75756295,New Orders and Shipments
14360,fedex has received your email - email reference number: 75756312,New Orders and Shipments
14361,update for you: 1 new notification,New Orders and Shipments
14362,shipping inquiry from amazon customer matthew,Customer Inquiries
14363,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
14364,follow - up for order id #vv-in-139179,Order Requests and Tickets
14365,sears.com notification - item out of stock,Delivery Status and Failures
14366,sears.com notification - low inventory alert,Delivery Status and Failures
14367,sears order notification: po 1757142,Delivery Status and Failures
14368,inquiry from amazon customer eric fagner,Customer Inquiries
14369,2 new walmart marketplace orders received,New Orders and Shipments
14370,sears order notification: po 1757134,Delivery Status and Failures
14371,a customer is waiting for an answer on drive medical rtl12505 premium...,Customer Inquiries
14372,"sold, ship now: txus-ren-15b2160l tx usa corporation cheyenne 36 solid wood floating wall shelf with raised edges - distressed white""",Customer Messages
14373,consulta del cliente de amazon alberto,Delivery Status and Failures
14374,"victorihackbart-0 has sent a question about item #126131332818, ending on 10-feb-2024 16:57:52 ist - toy chest - na - natural",Delivery Status and Failures
14375,balsc001 sent a message about ergode engage upholstered fabric ottoman - azure #134677574270,Customer Messages
14376,copyright claim received - item(s) removed,Customer Inquiries
14377,viair new product alert! plug-n-play on-demand portables,Customer Inquiries
14378,item sopt/opt override processing complete,Invoices and Support
14379,"accept or counter $162.00 for walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn, ends in 18 hours.",Customer Messages
14380,2201gary sent a message about rattan footstool with twill cushion -forest green #364573315204,Delivery Status and Failures
14381,grocery deals $5 or less: stock up on savings!,System Notifications
14382,"details about item: precoserv sent a message about flight case for denon prime 4 dj controller with sliding laptop shelf, 1u rac... #364694364973",Disputes and Cases
14383,"details about item: precoserv sent a message about flight case for denon prime 4 dj controller with sliding laptop shelf, 1u rac... #195904233803",Disputes and Cases
14384,product details inquiry from amazon customer xiao qian,Customer Inquiries
14385,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
14386,order cancelation request for order id: 112-4973161-3585854,Order Requests and Tickets
14387,your returns label is ready,New Orders and Shipments
14388,"nandansons wholesale specials price list for february 1, 2024",Invoices and Support
14389,statement from aps,Promotions and Offers
14390,5ave - shipped order notification,Order Requests and Tickets
14391,amfc - ky - order processing ips logistix - february 01st 2024 - batch 01,Invoices and Support
14392,stop searching... we have your valentine is day gift,Promotions and Offers
14393,5 new walmart marketplace orders received,New Orders and Shipments
14394,"message from walmart.com customer, ref id: 2433076330a742b6a4b239aa8462dbef",Customer Messages
14395,your essentialpetproducts.com order is on the way to you!,Order Requests and Tickets
14396,phone numbers needed,New Orders and Shipments
14397,you have a message waiting for you,Customer Messages
14398,[february newsletter] a new way to help your brand stand out!,New Orders and Shipments
14399,we are here to help!    [ ref:!00d700kccm.!5004u031jhoe:ref ],Customer Messages
14400,we are here to help!    [ ref:!00d700kccm.!5004u031jhwr:ref ],Customer Messages
14401,we are here to help!    [ ref:!00d700kccm.!5004u031jhew:ref ],Customer Messages
14402,we are here to help!    [ ref:!00d700kccm.!5004u031jhgu:ref ],Customer Messages
14403,we are here to help!    [ ref:!00d700kccm.!5004u031jgv9:ref ],Customer Messages
14404,we are here to help!    [ ref:!00d700kccm.!5004u031jhba:ref ],Customer Messages
14405,"you have been rated: mastervision maya combination board, dry erase / cork bulletin board #41614",Delivery Status and Failures
14406,credit memo for vir ventures inc. for invoice number - inv-16400846,Invoices and Support
14407,your e-mail to jorge pineda,Customer Inquiries
14408,sears order notification: po 1756809,Delivery Status and Failures
14409,credit memo for vir ventures inc. for invoice number - inv-16674845,Invoices and Support
14410,re: vir_venture sent a message about celebriducks ziggy starduck #364694365359,Delivery Status and Failures
14411,youâ€™ve got a chat message for walker edison alexander classic solid wood stackable jr twin vir -b07ndpl8dn.,Customer Messages
14412,payment receipt from xstatic pro inc / prox cases,Disputes and Cases
14413,"message from walmart.com customer, ref id: c68f75a7973941e5b12dd0a7a2656c49",Customer Messages
14414,payment receipt from xstatic pro inc / prox cases,Disputes and Cases
14415,payment receipt from xstatic pro inc / prox cases,Disputes and Cases
14416,inquiry from amazon customer erin good,Customer Inquiries
14417,credit memo for vir ventures inc. for invoice number - inv-16685409,Invoices and Support
14418,midland radio walmart removal - 1st warning,Invoices and Support
14419,credit memo for vir ventures inc. for invoice number - inv-16583712,Invoices and Support
14420,synergylabs - unauthorized product listing,Invoices and Support
14421,solicitud de factura del cliente de amazon jorge pineda(pedido: 701-8688832-7534657),Delivery Status and Failures
14422,credit memo for vir ventures inc. for invoice number - inv-16626781,Invoices and Support
14423,3 new walmart marketplace orders received,New Orders and Shipments
14424,youâ€™ve got a chat message for better trends double  comforter 100% cotton tufted unique--vir-b07wwq8844.,Miscellaneous/Unknown
14425,fwd: tracking for latest orders,Customer Inquiries
14426,introduce students to scientific experiments!,System Notifications
14427,[bambini layette] bam27826 package in transit,Miscellaneous/Unknown
14428,ticket has been created for order id #vv-us-cdb-35925,Order Requests and Tickets
14429,ticket has been created for order id #thp1500111570289337-2,Order Requests and Tickets
14430,ticket has been created for order id #thp8100108884361913-1,Order Requests and Tickets
14431,ticket has been created for order id #vv-us-cdc-5821,Order Requests and Tickets
14432,your e-mail to erick fernandez,Delivery Status and Failures
14433,your e-mail to rubã©n salazar,Miscellaneous/Unknown
14434,"shipping: kellybuys sent a message about giant tennis ball - 40 #404571508633""",Delivery Status and Failures
